Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
16-05-2014,4798,4798,4605.049805,4630.149902,4126.819336,44030,0
19-05-2014,4650,4673.100098,4561.049805,4585.850098,4087.335693,26462,0
20-05-2014,4580,4585,4525,4565.950195,4069.598145,219523,0
21-05-2014,4571,4700.049805,4550,4693.149902,4182.97168,26110,0
22-05-2014,4696.100098,4758,4663,4733.950195,4219.337891,266403,0
23-05-2014,4764.950195,4783.899902,4696,4744.25,4228.516113,26238,0
26-05-2014,4787,4787,4725,4743.600098,4227.9375,34539,0
27-05-2014,4725,4750,4722.75,4737.75,4222.723145,25860,0
28-05-2014,4725.049805,4798,4725,4767.75,4249.461426,23598,0
29-05-2014,4750.100098,4799,4731.049805,4784.049805,4263.989746,21004,0
30-05-2014,4752,5080,4738,4961,4421.703613,121025,0
02-06-2014,4951.149902,4951.149902,4788.149902,4799.649902,4277.89502,18940,0
03-06-2014,4780,4878,4780,4809.75,4286.896973,11655,0
04-06-2014,4800,4839.549805,4761,4769.600098,4251.109863,14767,0
05-06-2014,4763.049805,4892.350098,4763.049805,4852.149902,4324.687012,86225,0
06-06-2014,4858,4945,4825.049805,4921,4386.052734,29092,0
09-06-2014,4912,4930,4879,4892.549805,4360.695801,29708,0
10-06-2014,4885,4990,4865,4965.200195,4425.44873,27688,0
11-06-2014,4965,5025,4916.350098,5015.549805,4470.324707,31797,0
12-06-2014,4975,5019,4955.049805,4997.950195,4454.637695,36664,0
13-06-2014,4967,5005.100098,4930,4971.950195,4431.464355,50838,0
16-06-2014,4938,5023.149902,4903.200195,5006,4461.812988,17050,0
17-06-2014,4975,5012.5,4963.899902,5004.200195,4460.208496,37810,0
18-06-2014,4980.100098,5039,4911,4956.700195,4417.871582,17682,0
19-06-2014,4915,4983.950195,4915,4939.5,4402.54248,11429,0
20-06-2014,4912,4990,4866,4938.149902,4401.338379,23176,0
23-06-2014,4960,4960,4906.149902,4946.100098,4408.425293,12480,0
24-06-2014,4940,4953.399902,4910,4928.799805,4393.005859,10206,0
25-06-2014,4912,4964.799805,4912,4950.799805,4412.613281,7776,0
26-06-2014,4915.100098,4999,4915.100098,4989.149902,4446.795898,11291,0
27-06-2014,4950.100098,4959.950195,4901,4936.700195,4400.046875,11729,0
30-06-2014,4930,4949.899902,4911,4929.75,4393.851563,23768,0
01-07-2014,4931,4964.700195,4920,4933.850098,4397.504883,15826,0
02-07-2014,4935.049805,5000,4933.850098,4989.399902,4447.018066,14754,0
03-07-2014,4980,5010,4934,4997.950195,4454.637695,12909,0
04-07-2014,5012,5050,4962.399902,4973.950195,4433.248047,22828,0
07-07-2014,4999,5089.899902,4952.649902,5022.899902,4476.875,43292,0
08-07-2014,5032,5048.700195,4954,4983.200195,4441.490723,19325,0
09-07-2014,5020,5020,4971,5007,4462.702637,16062,0
10-07-2014,5050,5057,4831.200195,4954.350098,4415.777832,21222,0
11-07-2014,4955,5019.950195,4933,4992,4449.334961,98763,0
14-07-2014,4960,4980.100098,4925,4957.700195,4418.76416,8282,0
15-07-2014,4959,4967.950195,4916,4946.5,4408.780762,6102,0
16-07-2014,4946.350098,5010,4940,4970.549805,4430.21582,59947,0
